term,definition
COMAMF,COMMANDER ACE MOBILE FORCES
COMARRC,COMMANDER ACE RAPID REACTION CORPS
COMASWSTRIKFOR,"COMMANDER, ASW STRIKING FORCE"
COMASWSTRIKFOR,"COMMANDER, MARINE STRIKING FORCE"
COMATG,COMMANDER AMPHIBIOUS TASK GROUP
COMBALTAP,COMMANDER ALLIED FORCES BALTIC APPROACHES
COMBENENORTHWEST,COMMANDER MARITIME FORCES BELGIUM/NETHERLANDS NORTHWEST
COMCANLANT,COMMANDER CANADIAN ATLANTIC SUB-AREA
COMCAOC,COMMANDER COMBINED AIR OPERATION CENTRE
COMCARSTRIKFOR,COMMANDER CARRIER STRIKING FORCE
COMCENTLANT,"COMMANDER MARITIME FORCES, CENTRAL SUB-AREA"
COMCJSOTF,COMMANDER COMBINED JOINT SPECIAL OPERATIONS TASK FORCE
COMD,COMMANDER/COMMAND
COMEDCENT,COMMANDER CENTRAL MEDITERRANEAN AREA
COMEDEAST,COMMANDER EASTERN MEDITERRANEAN AREA
COMEDNOREAST,COMMANDER NORTHEAST MEDITERRANEAN AREA
COMEDS,?
COMFIVEATAF,COMMANDER FIFTH ALLIED TACTICAL AIR FORCE SOUTHERN EUROPE
COMGERFLEET,COMMANDER GERMAN FLEET
COMGIBMED,COMMANDER GIBRALTAR MEDITERRANEAN
COMIFOR,COMMANDER PEACE IMPLEMENTATION FORCES
COMINT,COMMUNICATION INTELLIGENCE
COMJTFNORTHNORWAY,COMMANDER JOINT TASK FORCE NORTH NORWAY
COMLANDCENT,COMMANDER ALLIED LAND FORCES CENTRAL EUROPE
COMLANDDJUT,COMMANDER ALLIED LAND FORCES SCHLESWIG- HOLSTEIN&JUTLAND
COMLANDSOUTH,COMMANDER ALLIED LAND FORCES SOUTHERN EUROPE
COMLANDSOUTHCENT,"COMMANDER ALLIED LAND FORCES, SOUTH CENTRAL EUROPE"
COMLANDSOUTHEAST,COMMANDER ALLIED LAND FORCES SOUTHEASTERN EUROPE
COMLANDZEALAND,COMMANDER LAND FORCES ZEALAND
COMMARAIREASTLANT,"COMMANDER MARITIME AIR FORCES, EASTERN ATLANTIC AREA"
COMMARAIRMED,COMMANDER MARITIME AIR FORCES MEDITERRANEAN
COMMARAIRNORTHWEST,COMMANDER MARITIME AIR FORCES NORTHWEST
COMMS,Communications 
COMMZ,COMMUNICATION ZONE
COMNAEWF,COMMANDER NATO AIRBORNE EARLY WARNING AND CONTROL FORCE
COMNAVNORTHWEST,COMMANDER ALLIED NAVAL FORCES NORTHWESTERN EUROPE
COMNAVSOUTH,COMMANDER ALLIED NAVAL FORCES SOUTHERN EUROPE
COMNORLANT,"COMMANDER MARITIME FORCES, NORTHERN SUB-AREA"
COMNORNORTHWEST,COMMANDER MARITIME FORCES NORTH NORTHWEST
COMNORTH,COMMANDER ALLIED FORCES NORTH EUROPE
COMOCEANLANT,COMMANDER OCEAN SUB-AREA
COMPHIBSTRIKFOR,"COMMANDER, AMPHIBIOUS STRIKING FORCE"
COMPOAIR,COMMANDER PORTUGUESE AIR
COMSEC,COMMUNICATIONS SECURITY
COMSEVENATAF,COMMANDER SEVENTH ALLIED TACTICAL AIR FORCE
COMSIXATAF,COMMANDER SIXTH ALLIED TACTICAL AIR FORCE
COMSTRIKFLTLANT,COMMANDER STRIKING FLEET ATLANTIC (AFLOAT)
COMSTRIKFORSOUTH,COMMANDER NAVAL STRIKING AND SUPPORT FORCES SOUTHERN EUROPE
COMSUBACLANT,COMMANDER SUBMARINES ALLIED COMMAND ATLANTIC
COMSUBEASTLANT,COMMANDER SUBMARINE FORCES EASTERN ATLANTIC AREA
COMSUBMED,COMMANDER SUBMARINES MEDITERRANEAN
COMSUBNORTHWEST,COMMANDER SUBMARINE FORCES NORTHWEST
COMSUBWESTLANT,COMMANDER SUBMARINE FORCES WESTERN ATLANTIC AREA
COMUKNLAF,COMMANDER UNITED KINGDOM-NETHERLANDS AMPHIBIOUS FORCE
COMUKNLLF,COMMANDER UNITED KINGDOM-NETHERLANDS LANDING FORCE
COMWESTNORTHWEST,COMMANDER MARITIME FORCES WESTNORTHWEST
CONOPS,Concept of Operation
CONOS,Concept of Support 
CONUS,CONTINENTAL UNITED STATES
COP,Common Operating Picture
COP,CONTINGENCY OPERATION PLAN
COP,Common Operational Picture
COPlanS,Collaborative OPS Planning System
CORCEN,CORRELATION CENTRE
CORSOM,Coalition Reception Staging and Onward Movement
COS,Command and Operational Support
COS,CHIEF OF STAFF
COSINE,Coalition Shared Intelligence-Network Environment
COTR,Contracting Officer's Technical Representative
COTS,Commercial Off The Shelf
COY,COMPANY
CP,Capability Package
CP,CHANGE PROPOSAL
CP,COMMAND POST
CP,CONTROL POINT
CPATT,Coalition Provisional Assistance Training Team
CPB,Capability Package Board 
CPC,CONFLICT PREVENTION CENTRE
CPG,COMPREHENSIVE POLITICAL GUIDANCE
CPIC,COALITION PUBLIC INFORMATION CENTRE
CPL,Combined Priority List
CPR,Civilian Personnel Regulations
CPR,CONTROL AND REPORTING POST
CPS,COVERT PASSIVE SURVEILLANCE
CPT,Central Planning Team 
CPT,Collaborative Planning tool
CPT,Core Planning Team
CPTC,Central Planning Team Conference
CPU,Central Processing Unit 
CPX,COMMAND POST EXERCISE
CR,Crisis Response
CR,CENTRAL REGION
CR,Conference Room
CRADA,Cooperative Research And Development Agreement
CRC,CONTROL AND REPORTING CENTRE
CRC,Crowd and Riot Control
CRC,Crowd and Riot Control 
CRD,Commanders' Required Dates
CRERB,CENTRAL REGION EXERCISE REVIEW BOARD
CRESP,CRISIS RESPONSE PROTOTYPE (=ADP SYSTEM)
CRF,CONTINGENCY REACTION FORCE
CRM,Collection Requirements Management
CRO,Crisis Response Operation
CRSG,CENTRAL REGION SIGNAL GROUP
CRV ,Coastal Research Vessel 
CS,(in) Chief of Staff Session
CS,COMBAT SUPPORT
CSA,Civilian Staff Association
CSAR,Combat Search and Rescue
CSARTF,Combat Search & Rescue Task Force
CSB,Combat Support Boats
CSBM,CONFIDENCE AND SECURITY-BUILDING MEASURES
CSC ,Centro Studi Cetacei 
CSCE,CONFERENCE ON SECURITY AND CO-OPERATION IN EUROPE
CSDI,Core Services and Data Integration
CSE,COMMUNICATION SUPPORT ELEMENT
CSF,Command Special Forces
CSF,Critical Success Factor 
CSFP,Common Foreign and Security Policy
CSG,Capabilities Steering Group
CSI,COMMAND STRUCTURE IMPLEMENTATION
CSIS,Center for Strategic and International Studies
CSS,COMBAT SERVICE SUPPORT
CSS ,Coastal Systems Station (US)
CSS WG,Combat Service Support Working Group 
CST,Command Support Teams
CT,Core Team
CT,Certification Team
CT ,Counter-Terrorism
CTD,Conductivity Temperature Depth
CTF,COMMANDER TASK FORCE
CTF,Combined Task Force
CTG,COMMANDER TASK GROUP
CTG,Combined Transformation Groupware facility 
CTL,Certification Team Leader
CTL,Common Transformation Library
CTP,Common Transformation Picture  
CTS,Cosmic Top Secret
CTSA,COSMIC TOP SECRET ATOMAL
CTU,COMMANDER TASK UNIT
CTZ,CONTROL ZONE
CU ,Colorado University 
CUP,Common Undersea Picture
CUSRPG,CANADA-UNITED STATES REGIONAL PLANNING GROUP
CV,AIRCRAFT CARRIER
CVBG,AIRCRAFT CARRIER BATTLE GROUP
CVN,AIRCRAFT CARRIER (NUCLEAR)
CVRT,"Criticality, Vulnerability, Recuperability and Threat "
CWAN,Coalition Wide Area Network
CWC,COMPOSITE WARFARE COMMANDER
CWG,Capability Working Group
CWID,Coalition Warrior Interoperability Demonstration (supersedes JWID)
CWID,Coalition Warrior Interoperability Demonstration 
CWID,Coalition Warfighter Interoperability Demonstration
CZ,Cooperative Zone
D,Director
D&C,Detection and Classification
D&C JRP ,Detection and Classification Joint Research Project 
DA,Deputy Assistant
DA,Direct Action
DACOS,DEPUTY ASSISTANT CHIEF OF STAFF
DAL,Defended Asset List
DARE ,Decision Aid for Risk Evaluation 
DART,Disaster Assisted Response Team
DART ,Dynamics of the Adriatic in Real Time 
DAS,Data Analyse System
DASG,Deputy Assistant Secretary General
DASG&D,Deputy Assistant Secretary General and Director
DASG/DI ,Deputy Assistant Secretary General for Defense Investment
DAT,Defence Against Terrorism
DBIWG,DATA BASE IMPLEMENTATION WORKING GROUP
DCA,Defence Capability Agency 
DCA,DEFENSIVE COUNTER AIR
DCA,DUAL CAPABLE AIRCRAFT
DCAOC,Deployable Combined Air Operations Centre
DCBA,Detection of Chemical and Biological Agents
DCC,Deployable Communications and Information System Concept
DCI,Defence Capabilities Initiative
DCI,Defense Capabilities Initiative
DCIS,Deployable Communications and Information System
DCL,Detection-Classification-Localization
DCM,Deployable CIS Module
DCMC,Deputy Chairman Military Committee
DCO,DOCUMENT CONTROL OFFICER
DCOFS,DEPUTY CHIEF OF STAFF
DCOS,DEPUTY CHIEF OF STAFF
DCOS (T) ,DEPUTY CHIEF OF STAFF (Transformation)
DCOS (T/S) ,DEPUTY CHIEF OF STAFF (Transformation Support)
DCP,Distributed Collaborative Planning
DCPA,
DCTS,Defense Collaborative Tool Suite
DD,Deputy Director
DD,DESTROYER
DDP,Detailed Deployment Plans
DDP,Detailed Deployment Plan 
DDR,"Disarmament, Demobilisation and Reintegration"
DE,Damage Expectancy
DEC ,Digital Electronics Corporation (company name) 
DEC UWB ,Director Equipment Capability Underwater Battlespace 
DECM,DECEPTIVE ELECTRONIC COUNTER-MEASURES
DEFCON,Defense Readiness Condition
DEM ,Data Exchange Mechanism
DEMUS ,Deployable Experimental Multistatic Undersea Sonar 
DET,Distributed Explosive Technology
DF,Data Fushion
DF,Deployable Forces
DF,DIRECTION FINDER (OR FINDING)
DFTC,Deployable Forces Training Concept 
DG,Degaussing 
DG,Destined Glory 
DGP,Defence Group on Proliferation
DGPS,Differential Global Positioning System
DGZ,DESIRED GROUND ZERO
DHS,Document Handling System
DHS,Department of Homeland Security 
DI,Defence Investment
DIB,Directory Information Base 
DIMS,Director International Military Staff
DIMS/ BUS,Director International Military Staff Business Letter
DIP,Detailed Implementation plan
DIP,Detailed Implementation Programme
DIRLAUTH,DIRECT LIAISON AUTHORIZED
DISTAFF,Directing Staff
DISUM,Daily Intelligence Summary
DIY,Do It Yourself
DJTF,Deployable Joint Task Force
DJTFAC,Deployable Joint Task Force Augmentation Cell
DJTFHQ,Deployable Joint Task Force Headquarters
DLM,DEPOT LEVEL MAINTENANCE
DLV,Doppler Velocity Log
DLWG,DATA LINK WG
DMPI,Desired Mean Point of Impact
DMS,Document Management System
DMS,Defense Messaging System
DMS ,Defence Messaging System 
DNS,Domain Name Server
DNSA,Director NSA
DNVT,DIGITAL NON-SECURE VOICE TERMINAL
DOB,DEPTH OF BURST
DOB,DISPERSAL OPERATING BASE
DOD,DEPARTMENT OF DEFENCE
DoI,Degree of Importance 
DOL,DISPERSED OPERATING LOCATION
DOM,Director of Management
DOS,Director of Staff 
DOSO,DIRECTOR OF STAFF OPERATIONS
DOTLMPFI,"Doctrine, Organization, Training, Leadership, Materiel, Personnel, Facilities, Interoperability - a structure within which various components of a capability can be broken down for ease of analysis"
DOTMLPF,"Doctrine, Organization, Training, Leadership, Materiel, Personnel, Facilities"
DOTMLPFS ,"Doctrine, Organization, Training, Material, Leader Development, Personnel, Facilities and Standardization"
DP,Displaced Person
DPC,Defence Planning Council
DPC,DEFENCE PLANNING COMMITTEE
DPM,
DPP,Defence Planning Process
DPQ,DEFENCE PLANNING QUESTIONNAIRE
DPQR,Defence Planning Questionnaire Reply
DPR,Defence Planning Disciplines 
DPR,Defence Planning Review
DPRE,DISPLACED PERSONS AND REFUGEES
DPRHQB,Deputy PERMREP New Headquarters Board 
DPRW,Defence Planning Review Workshop
DR,Dead-Reckoning
DRC,DEFENCE REVIEW COMMITTEE
DRDC ,Defence Research Division Canada 
DRE ,Defence Research Establishment 
DRR,Defence Requirements Review
DS,DECISION SHEET
DS,Directory Services 
DSACEUR,DEPUTY SACEUR
DSAs,Directory Service Agents 
DSCS,DEFENCE SATELLITE COMMUNICATIONS SYSTEM
DSF,DEPLOYED SHED FACILITY
DSG,DEPUTY SECRETARY GENERAL
DSIC,DEPLOYABLE SPECIAL INTELLIGENCE CAPABILITY
DSN,DEFENCE SWITCHING NETWORK
DSP,Digital Signal Processor 
DSS,DEMOCRATIC PARTY OF SERBIA
DSSCS,DEFENCE SUB-STATION COMMUNICATIONS SYSTEM
DST,DIRECT SUPPORT TEAM
DSTL,Defence Science & Technology Laboratory 
DTG,"DATE, TIME GROUP"
DTS,Data Transport Systems
DUI,DRIVING UNDER THE INFLUENCE
DUTCHBAT,DUTCH BATTALION
DV,Distinguished Visitor
DVL,Doppler Velocity Log
E&S,Equipment & Systems
E&T,Education & Training
EA,Environmentally Adaptive 
EA,Electronic Attack
EA,EMERGENCY ACTION
EA,EXECUTIVE ASSISTANT
EACOS,EXECUTIVE ASSISTANT (TO THE) CHIEF OF STAFF
EACOS COOP,EXECUTIVE ASSISTANT CHIEF OF STAFF (COOPERATION)
EACOS CSI,Executive Assistant Chief of Staff Command Structure Implementation
EAD,Earliest Arrival Date (at port of debarkation)
EAG,European Air Group
EAM,Emergency Action Message
EAP,Air Electrical and Electromagnetic Considerations Panel 
EAP,Emergency Action Procedures
EAPC,EURO ATLANTIC PARTNERSHIP COUNCIL
EAPC/ CS,EURO ATLANTIC PARTNERSHIP COUNCIL in Chief of Staff Session
EAPC/ SCEPC,EURO ATLANTIC PARTNERSHIP COUNCIL/ SENIOR CIVIL EMERGENCY PLANNING COMMITTEE
EAPMC,Euro Atlantic Partnership Military Council
EAPMC/ CS,EURO ATLANTIC PARTNERSHIP Military Committee in Chief of Staff Session
EAPWP,Euro-Atlantic Partnership Work Plan 
EARS ,Environmental Acoustic Recording System 
EASTLANT,EASTERN ATLANTIC AREA
EAU,EMERGENCY ACTION UNIT
EBA,Effects Based Assessment 
EBAO,Effects Based Approach to Operation 
EBE,Effects Based Execution 
EBO,Effects Based Operations
EBP,Effects Based Planning  
EC,Economic Committee
ECAP,European Capabilities Action Plan
ECC,Event Co-ordination Conference
ECC,Evolutionary Capabilities Criteria
ECCM,ELECTRONIC COUNTER COUNTER MEASURES
ECF,ESSENTIAL COMMAND FUNCTION
ECM,ELECTRONIC COUNTER MEASURES
EDA,European Defence Agency 
EDSS,Expeditionary Decision Support System 
EE,Emergency Establishment 
EE,Early Entry
EE,Effective Engagement
EE & JM,Effective Engagement and Joint Manoeuvre 
EEFI,Essential Elements of Friendly Information
EEI,Essential Elements of Information
EEOC,Effective Engagement Operational Concept
EEP,Exercise and Evaluation Panel
EF,Education Facilities
EFAC,End State Peace Establishment Further Manpower Saving Study And Combined Air Operations Centre Review
EFAC Review,End State Peace Establishment Further Manpower Saving Study And Combined Air Operations Centre Review
EFL,Established Financial Limits
EGM,Effects Guidance Matrix
ELF,EXTREMELY LOW FREQUENCY
ELFE,Extreem Low Frequencie Emission
ELINT,ELECTRONICS INTELLIGENCE
EMACS ,Embedded Maritime Acquisition and Control System 
EMCON,EMISSION CONTROL
EMDW,Expendable Mine Disposal Weapon (f.i. seafox) 
EMEP,Electromagnetic Effect Protection
EMF,ELECTROMAGNETIC FREQUENCY
EMMF,European Multi National Maritime Force
EMP,ELECTROMAGNETIC PULSE
EMP ,Expeditionary Mine Countermeasures and Port Protection 
EMOP,Enhanced and More Operational Partnership
EMS WG,Environmental Management Systems Working Group
EMSM,Extended Minehuting Simulation Model
END,Electronic Neutralisation Device
ENGR WG,Combat Engineer Working Group 
ENVISAT ,Environmental Satellite 
EO,Expeditionary Operations
EOB,ELECTRONIC ORDER OF BATTLE
EOC,Essential Operational Capabilities
EOD,END OF DAY (REPORT)
EOD,EXPLOSIVES ORDNANCE DISPOSAL
EOD WG,Explosive Ordnance Disposal Interservice Working Group 
EOREA,Earth Observation-enhanced Rapid Enviromental Assesment
EORSAT,ELINT OCEAN RECONNAISSANCE SATELLITE
EOS ,Expeditionary Operations Support 
EOY,End of Year (review)
EP,Environmental Protection
EP WG,Environmental Protection Working Group
EPD,Exercise Planning Directive 
EPG,Exercise Planning Guide
EPM,ELECTRONIC PROTECTIVE MEASURES
EPOC,European Plans and Operations Centre
EPOW ,Experimentation Programme Of Work 
EPSHOM ,Etablissement Principal du Service Hydrographique et Oceanographique de la Marine
EPT,EXERCISE PLANNING TEAM
ERMC(S),Environmental Risk Mitigation Capability (System)
ERPS,Enterprise Resource Planning System
ERT,Executive Round Table
ERT,EXECUTION REFERENCE TIME
ERW,ENHANCED RADIATION WEAPON
ESA,European Space Agency
ESDI,European Security and Defense Identity 
ESF,EUROPEAN SECURITY FORUM
ESG,Executive Steering Group
ESM,ELECTRONIC SUPPORT MEASURES
ESPE,End-State Peacetime Establishment 
ESPRESSO ,Extensible Performance and Evaluation Suite for Sonar 
ESRP,European Security Research Policy 
ET,Exploratory Team
ETAT,EUROPEAN TACTICAL ANALYSIS TEAM (US)
ETC,Evolutionary Training Criteria
ETE,Education Training & Evaluation
ETEEP,"Education, Training, Exercise and Evaluation Policy"
ETEEP,Education Training Exercise and Evaluation Panel
ETIC,ESTIMATE OF TIME IN-COMMISSION
ETT,Embedded Training Teams 
EU,European Union 
EUCCIS,European Union Command and Control Information System 
EUCOM,EUROPEAN COMMAND (US)
EUFOR,European Forces
EUMS,European Military Staff
EUROGROUP,INFORMAL GROUPING OF NATO EUROPEAN DEFENCE MINISTERS
EVE,Effective Visible Execution
EW,EARLY WARNING
EW,ELECTRONIC WARFARE
EW,Expeditionary Warefare
EW COP ,Electronic Warfare Contingency Operational Plan
EWC,ELECTRONIC WARFARE COMMANDER
EWCC,ELECTRONIC WARFARE COORDINATION CENTER
EWG,Effects Working Group
EWG,EXECUTIVE WORKING GROUP
EWG R,Executive Working Group (Reinforced)
EWS,Electronic Warfare Support
EX,EXERCISE
EXCO,Executive Coordinator
EXINST,Exercise Instructions
EXOPORTD,EXERCISE OPERATION ORDER
EXORD,Execution Order
EXPERT ,Expert Planning and Evaluation and Risk Assessment Tool 
EXR ,Exploratory Research 
EXRAP,EXERCISE REMEDIAL ACTION PROGRAMME
EXSPEC,EXERCISE SPECIFICATION
EXTAC ,Experimental Tactic 
EZ,Extraction Zone
F&E,Futures and Engagement 
FA,FIELD ARTILLERY
FAA,Forward Assembly Area
FAC,FORCE AERIENNE DE COMBAT (FRENCH)
FAC,FORWARD AIR CONTROLLER
FAF ,Focused Acoustic Field 
FAPC,Food and Agricultural Committee
FAS,Functional Area System
FAST BREAK,UNCLASSIFIED TITLE FOR SHAPE MOBILE UNIT/ALT WHQ
FAT,Factory Acceptance test
FATAC,TACTICAL AIR FORCE/TAF (FRENCH AIR FORCE
FAU ,Florida Atlantic University 
FAX,FACSIMILE
FC,Foundation Capability
FCE,Forward Command Element
FCRT,"Future Capabilities, Research and Technology"
FD,Functional Domains 
FD,Forward Direction
FDC,Force Designation Categories
FDO,Flexible Deterrent Option
FE,Forcible Entry
FEB,Flexible Employment Bases (for aircraft)
FEBA,FORWARD EDGE OF THE BATTLE AREA
FESTA ,Finite Element Structural Acoustics 
FF,FRIGATE
FFI,Friendly Force Information 
FFI ,Forsvarets Forsknings Institutt (Norwedian Defence Research Establishment) 
FFT,Friendly Force Tracking
FG,FORCE GOAL
FGA,FIGHTER GROUND ATTACK
FGC,Force Goal Cycle 
FGL,FORCE GENERATION LEVEL
FINCON,Financial Control
FIPR,FORCE INTELLIGENCE PROTECTION REPORT
FIVEATAF,FIFTH ALLIED TACTICAL AIR FORCE SOUTHERN EUROPE
FLIR,FORWARD LOOKING INFRA-RED
FLOG,Friday Lunchtime Officers Gatering
FLOT,FORWARD LINE OF OWN TROOPS
FLR,Forces at Lower Readiness
FLIR,Forward looking Infra Red
FLS,FORWARD LOGISTICS SITES
FLS,Forward Looking Sonar
FM,FORCE MARSHALLER
FM,FREQUENCY MODULATION
FMOD ,Federal Ministry of Defence 
FMSC,Frequency Management Sub-Committee 
FN,Framework Nations
FO,Forward Observer
FO,Fiber Optic
FOB,FORWARD OPERATING BASE
FOC,Full Operational Capability
FOD,FLAG OFFICER DENMARK
FOD,FOREIGN OBJECT DAMAGE
FOFA,FOLLOW-ON FORCES ATTACK
FOG,FLAG OFFICER GERMANY
FOGO,Flag Officer / General Officer
FOL,FORWARD OPERATING LOCATION
FOM,FREEDOM OF MOVEMENT
FORACS,Fleet Operational Readiness Accuracy Check
FORCEPREP,FORCE PREPARATION
FP,FORCE PROPOSAL
FP,Force Protection
FPC,Force Planning Cycle
FPC,Final Planning Conference
FPCON,Force Protection Condition
FPG,Functional Planning Guide
FPGA,Field Pogrammable Gate Array
FRAGO,Fragmentary Order
FRF ,Field Research Facility (US)
FRG,FEDERAL REPUBLIC OF GERMANY
FRP,Financial Rules and Procedures
FRY,FEDERAL REPUBLIC OF YUGOSLAVIA
FS,Functional Services
FSA,FINAL SITE ACCEPTANCE
FSB,Forward Staging Base
FSCC,FIRE SUPPORT CO-ORDINATION CENTRE
FSCL,FIRE SUPPORT CO-ORDINATION LINE
FSE,Future Security Environment 
FSP,Flight Safety Panel 
FTP,File Transfer Protocol
FTS,Force Tracking System
FTX,FIELD TRAINING EXERCISE
FWA,Focus Work Area
FWG ,Forschungsanstalt der Bundeswehr for Wassenschall und Geophysik (Federal Armed Forces Underwater Acoustic and Marine Geophysics Research Institute) 
FY,FINANCIAL OR FISCAL YEAR
FYI,For Your Information
FYROM,Former Yugoslav Republic of Macedonia 
G&M,Geospatial & METOC
G&O,Goals & Objectives
GA,GENERAL ALERT
GADGET,Geografic Accustic Database Generator Tool 
GAFTAC,GERMAN AIR FORCE TACTICAL COMMAND
GAFTAC,GERMAN AIR FORCE TACTICAL COMMAND (closed)
GAMMA,Global Aggregated Model for Military Assessment 
GBS,Global Broadcast System
GCA,GROUND CONTROL APPROACH
GCCS,Global Command and Control System
GCCS,Global Command and Control System
GCI,GROUND CONTROLLED INTERCEPTION
GCOP,Generic Contingency Plan
G-DAY,REINFORCEMENT DAY (NATIONAL DECISION)
GDFC ,Geospatial Data Fusion Centre 
GDP,GENERAL DEFENCE PLAN
GDP,Guidance for Defence Planning
GESMA ,Groupe d'Etude Sous Marine de l'Atlantique 
GFAP,GENERAL FRAMEWORK AGREEMENT FOR PEACE
GFCR,Force Goals Capability Requirements
GFGC,Global Force Generation Conference 
GGSP,Aircraft Gaseous Systems Panel 
GIBMED,GIBRALTAR MEDITERRANEAN
GID,Geographic Information Display 
GIG,Global Information Grid
GIP,GENERIC INTELLIGENCE PLANNING
GIS,Geographic Information System
GLCM,GROUND-LAUNCHED CRUISE MISSILE
GLE,Ground Liaison Element 
GLO,GROUND LIAISON OFFICER
GM,General Manager
GMBW,Genetically Modified Biological Weapon
GMRD,GUARDS MOTORISED RIFLE DIVISION (RUSSIAN)
GNP,GROSS NATIONAL PRODUCT
GNR,GENERAL NUCLEAR RESPONSE
GO,Governmental Organization
GOB,GROUND ORDER OF BATTLE
GOP,Guidelines for Operational Planning
GPALS,GLOBAL PROTECTION AGAINST LIMITED STRIKES
GPGS,GENERAL POLITICAL GUIDELINES
GPS,GLOBAL PROJECTION SYSTEM
GPS ,Global Positioning System (NAVSTAR)
GRF,Graduated Readiness Force
GRF,Graduated Readiness Forces
GROBAT,GROUND ORDER OF BATTLE
GSSF,Global Secuware Security Framework
GTD,GUARDS TANK DIVISION (RUSSIAN)
GTN,Global Transportation Network
GUI ,Graphical User Interface 
GU ,Ground Unit
GZ,GROUND ZERO
HAA,High Altitude Airships (zeppelin)
HA,Humanitarian Assistance
HARM,HIGH-SPEED ANTI-RADAR MISSILE
HAS,HARDENED AIRCRAFT SHELTER
HAST,Humanitarian Assistance Survey Team
HAZMAT,Hazardous Materials
HCA,Humanitarian and Civic Assistance
HDRM ,Human Diver Risk Mitigation 
HE,HIGH EXPLOSIVE
HF,High Frequency
HFMS,High Frequency Management Support System 
HHQ,Higher HQ
HIDACZ,HIGH DENSITY AIRSPACE CONTROL ZONE
HILEX,HIGH LEVEL EXERCISE
HIMEZ,HIGH MISSILE ENGAGEMENT ZONE
HIS,HOSTILE INTELLIGENCE SERVICE
HIS WG,Helicopter Interservice Working Group 
HLA ,Horizontal Line Array 
HLD,Homeland Defense
HLG,HIGH LEVEL GROUP
HLS,HELICOPTER LANDING STRIP
HLS,Homeland Security
HLSG,High Level Steering Group 
HLTF,High Level Task Force
HMS,Hull Mounted Sonar
HMMWV,HIGH MOBILE MULTIPURPOSE WHEELED VEHICLE
HN,HOST NATION
HNS,HOST NATION SUPPORT
HNT,HOST NATION TEAM
HOB,HEIGHT OF BURST
HOIS,HOSTILE INTELLIGENCE SERVICES
HOSG,Heads of States and Governments 
HOSTAC WG,Helicopter Operations from Ships Other Than Aircraft Carriers Working Group
HP ,Hewlett Packard (company name) 
HPT,High-Payoff Target
HPTL,High-Payoff Target List
HQ,Headquarters
HQ IPT,Headquarters Facility IPT 
HR,HIGH REPRESENTATIVE
HR,Humanitarian Relief
HRF ,High Readiness Forces
HUD,HEAD-UP DISPLAY
HUMINT,HUMAN INTELLIGENCE
HV,HRVATSKA VOJSKA (CROATIAN ARMY)
HVO,CROATIAN DEFENSE COUNCIL IN BOSNIA HERZEGOVINA
HVT,High Value Target
HVTCT ,High Value Time Critical Target
HVU ,High Value Unit 
HWU,HOT WASH-UP
I&W,INDICATORS AND WARNINGS
IA,Iraqi Army
IA,Information Assurance
IAAAWHQ,INTERIM AFCENT/AAFCE ALTERNATE WAR HEADQUARTERS
IADS,INTEGRATED AIR DEFENSE SYSTEM
IAEA,International Atomic Energy Agency 
IALCE,INTERNATIONAL AIRLIFT CONTROL ELEMENT
I-AMMO WG,INTER-SERVICE AMMUNITION INTERCHANGEABILITY WORKING GROUP 
IAP,INTEROPERABILITY AFFIRMATION PROGRAMME
iaw,in accordance with
IBAN,International Board of Auditors for NATO 
IBERLANT,IBERIAN ATLANTIC AREA
IBP,Iraqi Border Police
IC,Infrastructure Committee
ICAM,Investigation and Capability Assessment of upgraded MCMVs
ICAO,INTERNAL CIVIL AVIATION ORGANISATION
ICAOC,INTERIM COMBINED AIR OPERATION CENTRE
ICBM,INTERCONTINENTAL BALLISTIC MISSILE
ICC,Integrated Command and Control for Air Operations
ICDF,Iraqi Coastal Defence Force
ICDT,Integrated Capabilities Development Team
ICDT,Integrated Capabilities Development Team
ICG,Iraqi Coast Guard
ICI,Istanbul Cooperation Initiative
ICIP,Iraqi Criminal Investigative Police
ICP,INFRASTRUCTURE CAPABILITY PACKAGE
ICRC,International Committee of the Red Cross
ICRP,INTELLIGENCE CONTINGENCY REQUIREMENTS PACKAGE
ICRT,Integrated Capability Review Team
ICT,Integrated Capability Team (former IPT)
ICTY,International Criminal Tribunal for the former Yugoslavia 
ICV,INFANTRY COMBAT VEHICLES
ID,INFANTRY DIVISION
ID,Identification
ID/C CES,Integrated Directory/Collaboration Core Enterprise Services
IDA,Iraqi Defence Academy (envisioned)
IDEAS ,Improvised Explosive Device Detection and Environmentally Adaptive Sonar 
IDF,INTERCEPTOR DAY FIGHTER
IDL ,Image Description Language 
IDM,INTERFACE DEVELOPMENT MODULE
IDS,Intrusion Detection System
IEBL,INTER ENTITY
IEC,Initial Entry Capability
IED ,Improvised Explosive Device 
IEDD,Improvised Explosive Device Demolition 
IEG,Information Exchange Gateway
IER,Information Exchange Requirement
IER,INTERNATIONAL EVALUATION REPORT
IER,Information Exchange Requirement
IERH WG,Information Exchange Requirements Harmonization Working Group
IFF,IDENTIFICATION FRIEND OR FOE (ELECTRONICS)
IFOR,"Implementation Force (Bosnia, Herzegovina)"
IFR,INSTRUMENT FLIGHT RULES
IFTS,ISAF Force Tracking System 
IFV,INFANTRY FIGHTING VEHICLE
IGEO WG,Interservice Geospatial Working Group
I-HAWK,IMPROVED HAWK
IHP,Iraqi Highway Police
